GAMA ID,Area,Area th=1,Area th=2,Area th=3,Area th=4,Area th=5,Area th=6,Score 1,Score 2,Score 3,Score 4
227536,125,0,0,0,0,0,0,0,0,0,0
125066,728,0,0,0,0,0,0,0,0,0,0
69823,555,0,0,0,0,0,0,0,0,0,0
600696,1376,318,1,0,0,0,0,0.0,0.01107419712070875,7.267441860465116e-05,0.0
64112,140,0,0,0,0,0,0,0,0,0,0
144545,586,0,0,0,0,0,0,0,0,0,0
493136,309,0,0,0,0,0,0,0,0,0,0
71422,249,0,0,0,0,0,0,0,0,0,0
296664,84,0,0,0,0,0,0,0,0,0,0
508235,61,0,0,0,0,0,0,0,0,0,0
8297,198,0,0,0,0,0,0,0,0,0,0
568592,236,0,0,0,0,0,0,0,0,0,0
622533,389,0,0,0,0,0,0,0,0,0,0
105547,529,0,0,0,0,0,0,0,0,0,0
342385,281,0,0,0,0,0,0,0,0,0,0
610682,153,0,0,0,0,0,0,0,0,0,0
611004,652,165,233,156,0,22,0,0.2392638036809816,0.0882997370727432,0.08006134969325153,0.04925017041581459
321471,261,0,0,0,0,0,0,0,0,0,0
300657,755,0,0,0,0,0,0,0,0,0,0
230456,161,0,0,0,0,0,0,0,0,0,0
460496,64,0,0,0,0,0,0,0,0,0,0
289885,192,0,0,0,0,0,0,0,0,0,0
62828,101,0,0,0,0,0,0,0,0,0,0
123885,398,0,0,0,0,0,0,0,0,0,0
129908,357,0,0,0,0,0,0,0,0,0,0
22071,384,0,0,0,0,0,0,0,0,0,0
620059,277,0,0,0,0,0,0,0,0,0,0
320323,63,0,0,0,0,0,0,0,0,0,0
493451,117,0,0,0,0,0,0,0,0,0,0
7979,349,0,0,0,0,0,0,0,0,0,0
380712,471,0,0,0,0,0,0,0,0,0,0
16383,214,0,0,0,0,0,0,0,0,0,0
3589541,182,0,0,0,0,0,0,0,0,0,0
228967,193,0,0,0,0,0,0,0,0,0,0
178356,169,0,0,0,0,0,0,0,0,0,0
570119,1813,1242,839,116,0,0,0,0.06398234969663541,0.08583510624326951,0.0558742415885273,0.010663724949439235
592160,114,0,0,0,0,0,0,0,0,0,0
62728,142,0,0,0,0,0,0,0,0,0,0
62887,167,0,0,0,0,0,0,0,0,0,0
14984,202,0,0,0,0,0,0,0,0,0,0
265128,290,0,0,0,0,0,0,0,0,0,0
30750,172,0,0,0,0,0,0,0,0,0,0
381356,145,0,0,0,0,0,0,0,0,0,0
592280,154,0,0,0,0,0,0,0,0,0,0
39478,867,0,0,0,0,0,0,0,0,0,0
177913,176,0,0,0,0,0,0,0,0,0,0
272600,766,152,21,0,0,0,0,0.0,0.01206017655103817,0.002741514360313316,0.0
123424,230,0,0,0,0,0,0,0,0,0,0
594464,276,0,0,0,0,0,0,0,0,0,0
592700,208,0,0,0,0,0,0,0,0,0,0
548863,309,0,0,0,0,0,0,0,0,0,0
508268,837,0,0,0,0,0,0,0,0,0,0
536902,295,0,0,0,0,0,0,0,0,0,0
48684,160,0,0,0,0,0,0,0,0,0,0
511542,282,0,0,0,0,0,0,0,0,0,0
220984,196,0,0,0,0,0,0,0,0,0,0
561118,138,0,0,0,0,0,0,0,0,0,0
123561,155,0,0,0,0,0,0,0,0,0,0
165877,286,0,0,0,0,0,0,0,0,0,0
559024,278,0,0,0,0,0,0,0,0,0,0
535255,267,0,0,0,0,0,0,0,0,0,0
544535,436,0,0,0,0,0,0,0,0,0,0
611744,246,0,0,0,0,0,0,0,0,0,0
3854650,295,0,0,0,0,0,0,0,0,0,0
78344,135,12,0,0,0,0,0,0,0,0,0
30821,2350,1019,95,48,48,16,0,0.020425531914893616,0.03292806484295846,0.012893617021276596,0.00983451536643026
69579,284,0,0,0,0,0,0,0,0,0,0
463288,3724,2470,1062,5,41,4,0,0.0013426423200859291,0.06128842514449389,0.031189581095596133,0.002968731352189999
65451,505,0,0,0,0,0,0,0,0,0,0
324378,154,0,0,0,0,0,0,0,0,0,0
549531,219,0,0,0,0,0,0,0,0,0,0
422289,311,0,0,0,0,0,0,0,0,0,0
297923,101,0,0,0,0,0,0,0,0,0,0
124152,340,0,0,0,0,0,0,0,0,0,0
301939,428,0,0,0,0,0,0,0,0,0,0
203976,286,0,0,0,0,0,0,0,0,0,0
485528,518,0,0,0,0,0,0,0,0,0,0
505988,83,0,0,0,0,0,0,0,0,0,0
251809,48,0,0,0,0,0,0,0,0,0,0
492485,185,0,0,0,0,0,0,0,0,0,0
144936,458,0,0,1,3,3,0,0,0,0,0
39895,163,0,0,0,0,0,0,0,0,0,0
519215,538,0,0,0,0,0,0,0,0,0,0
492193,181,0,0,0,0,0,0,0,0,0,0
138142,568,0,0,0,0,0,0,0,0,0,0
130651,207,0,0,0,0,0,0,0,0,0,0
197588,154,0,0,0,0,0,0,0,0,0,0
266105,4535,3436,2019,413,69,5,0,0.09106945975744211,0.09465007612747414,0.061499448732083795,0.018865613132426805
230575,162,0,0,0,0,0,0,0,0,0,0
48807,133,0,0,0,0,0,0,0,0,0,0
491528,92,0,0,0,0,0,0,0,0,0,0
23341,1057,0,0,0,0,0,0,0,0,0,0
485971,432,0,0,0,0,0,0,0,0,0,0
266297,135,0,0,0,0,0,0,0,0,0,0
260900,183,0,0,0,0,0,0,0,0,0,0
534753,5429,4667,3472,1265,719,550,11,0.23300792042733467,0.1850555657886658,0.15132621108859826,0.09708151695626369
