,0
1657,1-632698
1658,1-143571
1659,1-453003
1660,1-335358
1661,1-56038
1662,1-494739
1663,1-352994
1664,1-274944
1665,1-633099
1666,1-559049
1667,1-437487
1668,1-513782
1669,1-105428
1670,1-32302
1671,1-512754
1672,1-8877
1673,1-271363
1674,1-440310
1675,1-112703
1676,1-354430
1677,1-528496
1678,1-177034
1679,1-172962
1680,1-641150
1681,1-53178
1682,1-543034
1683,1-318435
1684,1-357588
1685,1-39805
1686,1-594213
1687,1-196804
1688,1-526320
1689,1-397029
1690,1-623662
1691,1-120728
1692,1-427017
1693,1-181880
1694,1-448547
1695,1-512386
1696,1-148138
1697,1-610841
1698,1-601616
1699,1-482589
1700,1-33598
1701,1-227649
1702,1-377626
1703,1-93288
1704,1-383612
1705,1-452128
1706,1-317589
1707,1-51409
1708,1-8164
1709,1-231628
1710,1-195266
1711,1-439227
1712,1-379870
1713,1-565893
1714,1-338389
1715,1-301756
1716,1-456618
1717,1-250479
1718,1-102243
1719,1-32710
1720,1-456955
1721,1-635476
1722,1-530712
1723,1-590465
1724,1-43229
1725,1-11230
1726,1-347609
1727,1-272745
1728,1-22832
1729,1-200815
1730,1-322806
1731,1-269885
1732,1-156566
1733,1-513099
1734,1-473603
1735,1-612772
1736,1-588522
1737,1-364875
1738,1-285144
1739,1-508595
1740,1-540213
1741,1-178473
1742,1-516814
1743,1-370542
1744,1-635845
1745,1-35849
1746,1-456687
1747,1-473725
1748,1-481935
1749,1-520475
1750,1-295998
1751,1-228270
1752,1-450631
1753,1-626755
1754,1-565191
1755,1-69188
1756,1-494802
1757,1-264890
1758,1-364791
1759,1-395290
1760,1-458007
1761,1-520604
1762,1-13538
1763,1-429494
1764,1-281289
1765,1-154773
1766,1-174947
1767,1-542614
1768,1-78452
1769,1-284707
1770,1-592197
1771,1-160389
1772,1-351073
1773,1-165229
1774,1-501647
1775,1-247325
1776,1-484989
1777,1-439780
1778,1-220950
1779,1-431375
1780,1-327898
1781,1-382816
1782,1-252696
1783,1-73921
1784,1-241291
1785,1-168048
1786,1-28713
1787,1-504861
1788,1-41324
1789,1-388482
1790,1-35729
1791,1-307059
1792,1-185500
1793,1-262037
1794,1-104661
1795,1-224425
1796,1-135142
1797,1-567651
1798,1-245054
1799,1-574653
1800,1-284239
1801,1-144716
1802,1-375248
1803,1-84109
1804,1-85660
1805,1-512578
1806,1-443129
1807,1-629383
1808,1-73513
1809,1-312820
1810,1-165135
1811,1-225315
1812,1-375166
1813,1-210399
1814,1-3947
1815,1-605918
1816,1-478408
1817,1-463786
1818,1-327763
1819,1-566113
1820,1-18801
1821,1-591307
1822,1-325660
1823,1-32512
1824,1-378549
1825,1-248869
1826,1-89177
1827,1-469231
1828,1-171256
1829,1-230672
1830,1-179227
1831,1-575076
1832,1-501206
1833,1-101865
1834,1-593554
1835,1-163989
1836,1-394998
1837,1-212330
1838,1-130978
1839,1-69224
1840,1-24172
1841,1-448579
1842,1-123622
1843,1-369847
1844,1-44745
1845,1-488701
1846,1-422943
1847,1-302584
1848,1-243395
1849,1-535598
1850,1-567244
1851,1-349879
1852,1-3709
1853,1-94720
1854,1-474781
1855,1-89604
1856,1-175928
1857,1-638800
1858,1-45089
1859,1-403337
1860,1-6532
1861,1-73572
1862,1-601195
1863,1-482353
1864,1-49965
1865,1-211563
1866,1-503895
1867,1-638537
1868,1-43506
1869,1-638130
1870,1-313711
1871,1-442036
